"date","year","month_of_year","month","city","country","max_temp_c","min_temp_c","avg_temp_c"
2023-11-23,2023.0,November ,11.0,Berlin,Germany,10.60,1.90,7.40
2023-11-22,2023.0,November ,11.0,Berlin,Germany,3.00,-0.50,1.30
2023-11-17,2023.0,November ,11.0,Berlin,Germany,5.40,2.50,4.40
2023-11-25,2023.0,November ,11.0,Berlin,Germany,3.10,-0.60,1.40
2023-11-01,2023.0,November ,11.0,Berlin,Germany,14.60,7.10,10.60
2023-12-13,2023.0,December ,12.0,Berlin,Germany,4.70,2.20,4.20
2023-12-04,2023.0,December ,12.0,Berlin,Germany,-0.80,-5.40,-2.70
2023-12-22,2023.0,December ,12.0,Berlin,Germany,4.80,2.30,3.30
2023-12-09,2023.0,December ,12.0,Berlin,Germany,3.40,0.90,2.20
2023-12-05,2023.0,December ,12.0,Berlin,Germany,0.00,-2.60,-1.30
2023-12-19,2023.0,December ,12.0,Berlin,Germany,7.50,6.40,6.90
2023-12-17,2023.0,December ,12.0,Berlin,Germany,9.60,7.70,8.50
2023-12-12,2023.0,December ,12.0,Berlin,Germany,6.60,4.20,5.90
2023-12-10,2023.0,December ,12.0,Berlin,Germany,6.80,2.80,5.30
2023-12-14,2023.0,December ,12.0,Berlin,Germany,3.40,1.90,2.60
2023-12-02,2023.0,December ,12.0,Berlin,Germany,-1.20,-6.30,-4.40
2023-12-29,2023.0,December ,12.0,Berlin,Germany,9.60,6.90,8.70
2023-12-06,2023.0,December ,12.0,Berlin,Germany,1.20,-0.50,0.30
2023-12-26,2023.0,December ,12.0,Berlin,Germany,11.20,6.80,9.10
2023-12-20,2023.0,December ,12.0,Berlin,Germany,6.50,4.40,5.50
2023-12-08,2023.0,December ,12.0,Berlin,Germany,0.30,-1.70,-0.20
2023-12-21,2023.0,December ,12.0,Berlin,Germany,9.20,3.90,7.10
2023-12-27,2023.0,December ,12.0,Berlin,Germany,6.10,3.10,4.70
2023-12-28,2023.0,December ,12.0,Berlin,Germany,8.60,5.50,7.00
2023-12-07,2023.0,December ,12.0,Berlin,Germany,0.80,-2.10,0.00
2023-12-15,2023.0,December ,12.0,Berlin,Germany,5.10,1.30,3.30
2023-12-03,2023.0,December ,12.0,Berlin,Germany,-0.80,-5.20,-3.00
2023-12-11,2023.0,December ,12.0,Berlin,Germany,8.90,5.80,7.50
2023-12-31,2023.0,December ,12.0,Berlin,Germany,7.90,4.10,5.70
2023-12-25,2023.0,December ,12.0,Berlin,Germany,11.50,8.50,10.10
2023-12-16,2023.0,December ,12.0,Berlin,Germany,7.10,3.80,5.40
2023-12-18,2023.0,December ,12.0,Berlin,Germany,8.50,6.30,7.40
2023-12-24,2023.0,December ,12.0,Berlin,Germany,10.60,0.90,7.30
2023-12-30,2023.0,December ,12.0,Berlin,Germany,9.20,4.40,6.20
2023-12-23,2023.0,December ,12.0,Berlin,Germany,2.80,0.70,1.70
2023-12-01,2023.0,December ,12.0,Berlin,Germany,-1.30,-6.00,-3.50
2024-01-01,2024.0,January  ,1.0,Berlin,Germany,7.00,5.40,6.10
2024-01-31,2024.0,January  ,1.0,Berlin,Germany,8.60,4.50,6.40
2024-01-17,2024.0,January  ,1.0,Berlin,Germany,0.10,-3.60,-1.70
2024-01-06,2024.0,January  ,1.0,Berlin,Germany,1.30,-1.10,0.50
2024-01-08,2024.0,January  ,1.0,Berlin,Germany,-4.70,-7.00,-5.70
2024-01-14,2024.0,January  ,1.0,Berlin,Germany,3.10,1.20,2.10
2024-01-27,2024.0,January  ,1.0,Berlin,Germany,5.50,2.30,4.40
2024-01-16,2024.0,January  ,1.0,Berlin,Germany,0.40,-2.90,-0.90
2024-01-26,2024.0,January  ,1.0,Berlin,Germany,8.10,2.40,4.90
2024-01-23,2024.0,January  ,1.0,Berlin,Germany,6.10,3.20,4.90
2024-01-11,2024.0,January  ,1.0,Berlin,Germany,0.40,-3.60,-1.60
2024-01-28,2024.0,January  ,1.0,Berlin,Germany,6.60,0.90,3.10
2024-01-29,2024.0,January  ,1.0,Berlin,Germany,7.70,2.10,4.30
2024-01-20,2024.0,January  ,1.0,Berlin,Germany,1.30,-2.70,-0.50
2024-01-02,2024.0,January  ,1.0,Berlin,Germany,7.10,3.60,5.00
2024-01-15,2024.0,January  ,1.0,Berlin,Germany,2.30,-1.90,0.60
2024-01-03,2024.0,January  ,1.0,Berlin,Germany,9.70,7.70,9.10
2024-01-05,2024.0,January  ,1.0,Berlin,Germany,0.50,-0.90,-0.30
2024-01-24,2024.0,January  ,1.0,Berlin,Germany,11.30,3.70,8.10
2024-01-19,2024.0,January  ,1.0,Berlin,Germany,0.90,-3.80,-1.60
2024-01-09,2024.0,January  ,1.0,Berlin,Germany,-3.00,-7.30,-5.60
2024-01-30,2024.0,January  ,1.0,Berlin,Germany,8.30,2.80,5.30
2024-01-18,2024.0,January  ,1.0,Berlin,Germany,0.50,-2.90,-1.50
2024-01-07,2024.0,January  ,1.0,Berlin,Germany,-1.60,-3.90,-2.50
2024-01-21,2024.0,January  ,1.0,Berlin,Germany,1.70,-3.10,-0.50
2024-01-10,2024.0,January  ,1.0,Berlin,Germany,-0.80,-5.70,-3.90
2024-01-25,2024.0,January  ,1.0,Berlin,Germany,7.50,3.90,6.30
2024-01-04,2024.0,January  ,1.0,Berlin,Germany,8.10,-0.40,4.30
2024-01-13,2024.0,January  ,1.0,Berlin,Germany,2.70,-0.10,1.40
2024-01-12,2024.0,January  ,1.0,Berlin,Germany,0.70,-0.90,0.00
2024-01-22,2024.0,January  ,1.0,Berlin,Germany,7.50,1.20,5.20
2024-02-26,2024.0,February ,2.0,Berlin,Germany,10.20,3.60,6.60
2024-02-15,2024.0,February ,2.0,Berlin,Germany,11.60,7.70,9.10
2024-02-23,2024.0,February ,2.0,Berlin,Germany,11.80,5.10,7.20
2024-02-07,2024.0,February ,2.0,Berlin,Germany,10.20,2.60,4.10
2024-02-29,2024.0,February ,2.0,Berlin,Germany,11.80,2.10,6.70
2024-02-13,2024.0,February ,2.0,Berlin,Germany,8.10,3.40,6.00
2024-02-27,2024.0,February ,2.0,Berlin,Germany,9.20,4.90,6.60
2024-02-01,2024.0,February ,2.0,Berlin,Germany,7.20,3.20,5.70
2024-02-24,2024.0,February ,2.0,Berlin,Germany,10.10,3.20,6.20
